SEQUENCE	CLASS	PHASE	BYTE_LENGTH	SHA-256	ROLE	RELATIVE_PATH
107	STATIC	173C	556	789884236F1A63A0090DABB53A603FCEC1C9DD73B7C9724C30BF78AC817970F1	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_09_migration_readiness.json
108	STATIC	173C	450	7AADC7BAA5F253F21AFF818F93D9BB18A268F0917A402CD10A85C5963DE8C0F0	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_10_cmdb_authority_gap.json
109	STATIC	173C	541	7A3636CE3A3CBF4EB758C86C234DC92C9B4DE5190BAE8A259A93F96AC7053897	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_11_power_cold_chain_dependency.json
110	STATIC	173C	488	B9AC91796293282263452F72C5B1F607882EC250F8F85DE6803337F37ACD92CB	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_12_ramat_vision_display_only.json
111	STATIC	173C	1088	AAE39E61D6249EF5C6D3C4FF46A6BEE7DE87DFFE1E3B99BFA090C665922F56A9	LOCAL_VALIDATOR	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/validators/validate_manifest.py
112	STATIC	173C	1086	D5BBCCE20667A59E3784B63741FFFEC357D4C878B468F647FBE4B3D788FDD6E6	LOCAL_VALIDATOR	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/validators/validate_schemas.py
113	STATIC	173C	1088	6CB1D9D70BC5FA3DE92835534698499EFC07D3954BC1A6B39BD7D769F214DD7A	LOCAL_VALIDATOR	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/validators/validate_patterns.py
114	STATIC	173C	1110	4FB34AFE01C5C9734798BA93D508BCB34533B55BAEF84B40EE39EF2182F1032F	LOCAL_VALIDATOR	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/validators/validate_decision_precedence.py
115	STATIC	173C	1114	8A8AFF47D09441F3B52696B6E2C0B53553B2AA0A39F659413019091BB8A6AE85	LOCAL_VALIDATOR	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/validators/validate_ramat_vision_contract.py
116	STATIC	173C	1096	5636E496A46C29167D434AAEEDE1C08816D428A51F90DCB8545FDF214BA52201	LOCAL_VALIDATOR	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/validators/validate_sanitization.py
117	STATIC	173C	1090	2BBAD936650AAFEBA54E271BCC3AF0F1635B4447F5DC8A4CEDE92A3B5F0D52F4	LOCAL_VALIDATOR	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/validators/validate_scenarios.py
118	STATIC	173C	1092	500B7FF21FF34385361FC2C71DE428D1C5E31583D71A5798E7E1505931987ACA	LOCAL_VALIDATOR	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/validators/validate_boundaries.py
119	STATIC	173C	947	FC0F9709736A46A0DFF7F0165515F3A6C91F8ACC4A5D985F3AD9E800F7FFBEB4	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_manifest_exactness.py
120	STATIC	173C	945	5887434364CC160C0B401470AD41FCF7C3BA5BFF1F9C943C47477799F4D4D8AF	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_schema_validation.py
121	STATIC	173C	945	E3088CEDDFAB308A42FEE782AA0FB48AA5666BF6BC1C359144B1FD60A4986F88	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_decision_outcomes.py
122	STATIC	173C	949	A82C66599C1840AFD1A4AA8069DC77A0F074D8966C586E40A3E2FB63A44E505F	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_decision_precedence.py
123	STATIC	173C	947	909990D0D6277E71E29C5FB25EF3FA7870E9D23F93678B501F000799AC5E2DEF	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_no_bind_governance.py
124	STATIC	173C	959	FD91F6D83E555A1429FF79486F4B7FB8E565FFFC375B2FF66B0DED88B519628D	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_human_authority_boundary.py
125	STATIC	173C	961	B69A8C56AE0B38D88927B27E4BE01CFE80E60DA4783D45B97D6B490F327E5EEE	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_source_state_disagreement.py
126	STATIC	173C	947	BC07ACC0C125F7AC62949611F671993E1573853937FB4EC56B50953C45667AD0	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_ramat_display_only.py
127	STATIC	173C	947	3AD0A98FFCBAF8824EAF0BCC15F24ECF97416997A59B888D00A82CE7A4DF34E1	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_equipment_passport.py
128	STATIC	173C	949	F109AA113590163C1652E9BEDA98FF5A1BF465728B56EB0FECB297CE949A523D	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_validation_standing.py
129	STATIC	173C	953	3613BD5E1D1971F8B66F4A9476A1EFB33B6312663D53CDE3303D8842E02B6178	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_measurement_integrity.py
130	STATIC	173C	957	1A7232672F3E9926BB9493C9093B37F8FAFB8C99A20339132AAB9B4DE3CE9FD0	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_environmental_readiness.py
131	STATIC	173C	963	679A560466E553707D7E75C60B644BB31C8C7C28BFAD29A407EB4932CCEBE5F0	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_analytical_result_reliance.py
132	STATIC	173C	953	D1342F84A2430EF0363E1A1744124AB30DAD4FC3C5F39B6C093D63855784CBE2	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_maintenance_lifecycle.py
133	STATIC	173C	939	8F9FB19E5CA42E3323A2A71DABB8783DA72F7498812A7B0D10F611DA593AE64D	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_cmdb_authority.py
134	STATIC	173C	943	BED05DEEDC511334165B271104553FB7FFD4729F784A1D17F584AAA7E5AA842A	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_spreadsheettrust.py
135	STATIC	173C	935	2DE9CAC0711A9CDBAA53BFA1DCE2257793611A1AE30BF4F0780E072AE7400181	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_pipettetrust.py
136	STATIC	173C	935	0938599FC9473B287E678E45BFE404FE7C9B6B4AC4D20E8CAA67F8C92BA27EF1	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_balancetrust.py
137	STATIC	173C	939	8003ED0A9FFE71E5D3EE01D9B787FFC8C81C417D3D393E57B2BB21482461A014	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_migrationtrust.py
138	STATIC	173C	943	063F9C66C29A86C2C260B9F1E752A2F09A141C8FFA80084AFA603954700534FE	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_power_cold_chain.py
139	STATIC	173C	961	42DAABBDE232B7CA64D9346AB4FD3227F5B3E9C2EA8AABEBCAA2C0A91EFEE7B8	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_inspection_reconstruction.py
140	STATIC	173C	937	0BD0DD0C73D07AAF2D4C6F34B9E848AFA249070D9601CBF9B9568D4D854BF538	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_reality_graph.py
141	STATIC	173C	953	8E9A3B8C89C317D97A94DDCAEE67FF57F3E8EB4A8E7D76BD383A93481B4EE8A4	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_sanitization_boundary.py
142	STATIC	173C	933	FCC75C22CADC7DA89AB25BA9455CF452F6F4E28F4B8A8B526D857D5492B6CBDC	LOCAL_UNIT_TEST	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/tests/test_determinism.py
143	STATIC	173C	267	42A2FE53D7A50D70C8FCF9B0BC0BD5ADA94F1D6D42EC42C12A7445EC5EE8A9B5	EVIDENCE_TEMPLATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence_templates/scenario_execution_template.json
144	STATIC	173C	266	BABC9E99BFED428BEDCEA91E7B5909DB212C44153D8B789A9954270BC51EF3F8	EVIDENCE_TEMPLATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence_templates/acceptance_result_template.json
145	STATIC	173C	262	D85190CC473226ED9508F6FAE310DEF03341FAAD06868EFF19AB5569C4192F73	EVIDENCE_TEMPLATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence_templates/tamper_result_template.json
146	STATIC	173C	264	81EE24BE96259C8D21D401525EADD783DB0EB6EACF577D60E07F0BA13B4E2184	EVIDENCE_TEMPLATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence_templates/recovery_result_template.json
147	STATIC	173C	267	2BBA161CF5FE88E66C20D8AD8BC5551065B9264F1255035531CEBED2010CEDA1	EVIDENCE_TEMPLATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence_templates/determinism_result_template.json
148	STATIC	173C	60	7704804FD2F76B652E4A8CE68DDD50CD1EA55B834857B8565AD8F3AE63C2A520	EVIDENCE_TEMPLATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence_templates/blob_ledger_template.tsv
149	STATIC	173C	270	63A537BE64FEAE56EAEB5D8B11F7F0759C11736192FA5DD5E52806529AA41E0F	EVIDENCE_TEMPLATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence_templates/manifest_verification_template.json
150	STATIC	173C	262	494C4EEF9455D2E34D5884717876085F17FE982809F02866D5C06F24056627C9	EVIDENCE_TEMPLATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence_templates/final_package_template.json
151	STATIC	173C	3415	27AC4668CB2BFA904B21F1060A99CAA5103B2D2778AA073C93884D9938D49741	ACCEPTANCE_CONTROL	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/acceptance/acceptance_control_matrix.json
152	STATIC	173C	1088	A08A0B4D4CE98CB2203D28C9706732B06BD6F64C789771CAC7A1B42FD9DF7BD3	ACCEPTANCE_CONTROL	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/acceptance/scenario_acceptance_map.json
153	STATIC	173C	240	2ADA6C658CE2AD8A20487FAB1595D72B02F343C7ACBC938D0B2DE0D69C5B6BA7	ACCEPTANCE_CONTROL	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/acceptance/security_sanitization_acceptance.json
154	STATIC	173C	360	894FB06743C0CAF06FAD668029DE8CA15B6995BE282C9B8C8CD2453D9DC86F76	ACCEPTANCE_CONTROL	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/acceptance/ramat_boundary_acceptance.json
155	STATIC	173C	379	9A44BCAD433EAF545066E9177ECD9B9F037D9232E250FF8CA8B6FBB8FBB2CDE4	ACCEPTANCE_CONTROL	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/acceptance/final_gate_requirements.md
156	STATIC	173C	4107	D33EE0A565AF3BF610CDEDF8AAC0E4BF635B87E48B1DB04906523C7A660FD500	ACCEPTANCE_CONTROL	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/acceptance/traceability_matrix.json
157	STATIC	173C	335	7BC1C01460A8F5508D3A253245C52EFDEC0801BCF8CFC618A2CE4A5F4DBDC024	CHECKSUM_PLAN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/checksums/README.md
158	STATIC	173C	60	7704804FD2F76B652E4A8CE68DDD50CD1EA55B834857B8565AD8F3AE63C2A520	CHECKSUM_PLAN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/checksums/static_file_ledger_plan.tsv
159	STATIC	173C	60	7704804FD2F76B652E4A8CE68DDD50CD1EA55B834857B8565AD8F3AE63C2A520	CHECKSUM_PLAN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/checksums/generated_evidence_ledger_plan.tsv
160	STATIC	173C	253	FF4295FAAB5531497EDBC810269A1B5A534467376BDE8A39E36B4B6277A5061F	CHECKSUM_PLAN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/checksums/package_seal_plan.md
